article_index,experiment_number,author,year,title,journal,url,searchterms,N_participants_recruited,N_participants_after_filtering,N_participants_per_item,part_profile,part_recruitment,compensation,demographics_reported,language,N_experiments,experiment_num_orig,N_conditions,N_conditions_reported,N_items_per_condition,design_type,between_subj_condition,balanced_items,exp_blocking,randomization,N_trials_per_participant,N_pre-test,N_post-test,multiple_tasks,confidence_design,N_target_items,N_target_items_per_participant,N_fillers,N_items_reported,linguistic_phenomenon,item_construction,item_balance,item_plausibility,contextualization,confidence_stimuli,instructions,rating_terminology,response_scale,response_levels,response_comparison,presentation_modality,task_review,task_timing,delivery_format,task_duration,task_supervision,pilot_testing,confidence,breaks,comprehension,confidence_task,stat_scale,preprocessing,software,statistical_test,bayesian,random_effects,effect_sizes,sig_threshold,mult_comp_correction,power_analysis,autocorr,propensity,other_instr,other_instr_type,confidence_analysis,item_avail,item_repository,data_avail,data_repository,preregistration,prereg_repository,corresp_author,coder_comments,coder_id
"Heestand, Xiang, Polinsky_2011_resumption_still_does",3,Dustin Heestand; Ming Xiang; Maria Polinsky,2011.0,RESUMPTION STILL DOES NOT RESCUE ISLANDS,Linguistic Inquiry,http://www.jstor.org/stable/23011912,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; linguistic intuition judgment; linguistic intuition rating; sentence judgment; syntactic judgment,24,24,4,Not Reported,Not Reported,Not Reported,Region,English,4,3,6,No,30,Mixed,"Conditions within subject, but Latin Square design to distribute specific examples between participants, so the same sentence would not occur in different conditions for the same participant",Not Reported,Intermixed,Random,144,0,0,Not Reported,Fairly confident,180,30,114,No,Syntax,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,"""After the last word of each sentence, participants used the mouse to rate the sentence on a 1-to-7 scale (7: perfectly grammatical, 1: ungrammatical).""",grammaticality,Ordinal (Likert),7,Isolation,Written,Not Reported,Fixed,Computer-based,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Reaction times,Fairly confident,Not Reported,,Not Reported,,Not Reported,,,,LR
"Heestand, Xiang, Polinsky_2011_resumption_still_does",4,Dustin Heestand; Ming Xiang; Maria Polinsky,2011.0,RESUMPTION STILL DOES NOT RESCUE ISLANDS,Linguistic Inquiry,http://www.jstor.org/stable/23011912,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; linguistic intuition judgment; linguistic intuition rating; sentence judgment; syntactic judgment,24,24,4,Not Reported,Not Reported,Not Reported,Region,English,4,4,6,No,30,Mixed,"Conditions within subject, but Latin Square design to distribute specific examples between participants, so the same sentence would not occur in different conditions for the same participant",Not Reported,Intermixed,Random,144,0,0,Not Reported,Fairly confident,180,30,114,No,Syntax,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,"""After the last word of each sentence, participants used the mouse to rate the sentence on a 1-to-7 scale (7: perfectly grammatical, 1: ungrammatical).""",grammaticality,Ordinal (Likert),7,Isolation,Written,Not Reported,Fixed,Computer-based,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,ANOVA,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Reaction times,Slightly confident,Not Reported,,Not Reported,,Not Reported,,,"ANOVA reports resuts ""by subject"" and ""by item"" > does this correspond to random effects?",LR
"Häussler, Bader_2010_toward_a_model",1,Jana Häussler; Markus Bader,2010.0,Toward a model of grammaticality judgments,JoLinguistics,http://www.jstor.org/stable/40731815,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; magnitude estimation; naïve rating; sentence judgment; syntactic judgment,24,Not Reported,Not Reported,Students (unspecified),University affiliation,Mixed,Not Reported,German,5?,3,4,Yes,24,Within-subjects,,Yes,Blocks,Random,114,10,0,Yes,Fairly confident,24*4 + 6*42 + 6*30 = 528,96,18,No,Syntax,Fully Constructed,Not Reported,Not Reported,No,Fairly confident,Not Reported,Not Reported,Continuous,ME,Magnitude Estimation,Written,Not Reported,Not Reported,Computer-based,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Other,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,markus. bader@uni-konstanz. de,"Complex design crossing phenomena, tasks, and task orderings; I treated each task and order as a separate ""experiment"".",JG
"Häussler, Bader_2010_toward_a_model",2,Jana Häussler; Markus Bader,2010.0,Toward a model of grammaticality judgments,JoLinguistics,http://www.jstor.org/stable/40731815,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; magnitude estimation; naïve rating; sentence judgment; syntactic judgment,24,Not Reported,Not Reported,Students (unspecified),University affiliation,Mixed,Not Reported,German,5?,2,4,Yes,24,Within-subjects,,Yes,Blocks,Random,114,10,0,Yes,Fairly confident,24*4 + 6*42 + 6*30 = 528,96,18,No,Syntax,Fully Constructed,Not Reported,Not Reported,No,Fairly confident,Not Reported,Not Reported,Dichotomous (Binary),2,Isolation,Written,No,Fixed,Computer-based,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Dichotomous,Other,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,reaction times,Fairly confident,Not Reported,,Not Reported,,Not Reported,,markus. bader@uni-konstanz. de,"Complex design crossing phenomena, tasks, and task orderings; I treated each task and order as a separate ""experiment"".",JG
"Häussler, Bader_2010_toward_a_model",4,Jana Häussler; Markus Bader,2010.0,Toward a model of grammaticality judgments,JoLinguistics,http://www.jstor.org/stable/40731815,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; magnitude estimation; naïve rating; sentence judgment; syntactic judgment,24,Not Reported,Not Reported,Students (unspecified),University affiliation,Mixed,Not Reported,German,5?,4,4,Yes,24,Within-subjects,,Yes,Blocks,Random,114,10,0,Yes,Fairly confident,24*4 + 6*42 + 6*30 = 528,96,18,No,Syntax,Fully Constructed,Not Reported,Not Reported,No,Fairly confident,Not Reported,Not Reported,Dichotomous (Binary),2,Isolation,Written,No,Fixed,Computer-based,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,reaction times,Fairly confident,Not Reported,,Not Reported,,Not Reported,,markus. bader@uni-konstanz. de,"Complex design crossing phenomena, tasks, and task orderings; I treated each task and order as a separate ""experiment"".",JG
"Häussler, Bader_2010_toward_a_model",5,Jana Häussler; Markus Bader,2010.0,Toward a model of grammaticality judgments,JoLinguistics,http://www.jstor.org/stable/40731815,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; magnitude estimation; naïve rating; sentence judgment; syntactic judgment,36,Not Reported,Not Reported,Students (unspecified),University affiliation,Mixed,Not Reported,German,5?,5,4,Yes,24,Within-subjects,,Yes,Blocks,Random,114,1,0,Yes,Fairly confident,24*4 + 6*42 + 6*30 = 528,96,18,No,Syntax,Fully Constructed,Not Reported,Not Reported,No,Fairly confident,They were asked to judge the grammaticality of each sentence on the questionnaire by marking one of the two options 'grammatical' or 'ungrammatical' printed beneath each sentence.,grammaticality,Dichotomous (Binary),2,Isolation,Written,Not Reported,Self-paced,Computer-based,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Other,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,markus. bader@uni-konstanz. de,"Complex design crossing phenomena, tasks, and task orderings; I treated each task and order as a separate ""experiment""; Binary responses analysed as percentages",JG
"Pañeda, Kush_2021_spanish_embedded_question",1,Claudia Pañeda; Dave Kush,2021.0,Spanish embedded question island effects revisited: an experimental study,Linguistics,https://doi.org/10.1515/ling-2020-0110,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; sentence judgment; syntactic judgment,52,47,,Mixed,Mixed,Other incentive,Age; Gender / Sex; Language background; Region,Spanish,2,1,6,No,18,Within-subjects,,Yes,Intermixed,Semi-random,Not Reported,5,0,Not Reported,,172,Not Reported,18,No,Syntax,Fully Constructed,Not Reported,Not Reported,Yes,Slightly confident,"Participants were instructed to judge the acceptability of example sentences according to their colloquial understanding, and were discouraged from basing their judgments on school grammar, orthography or plausibility.",acceptability,Ordinal (Likert),7,Isolation,Written,Not Reported,Not Reported,Computer-based,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Items; Participant,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://osf.io/enq4r/overview?view_only=ae50dc9a113f4e93a0e52dab44d25c1f,Not Reported,,Not Reported,,panedaclaudia@uniovi.es,Unclear how many trials participants were given,JG
"Pañeda, Kush_2021_spanish_embedded_question",2,Claudia Pañeda; Dave Kush,2021.0,Spanish embedded question island effects revisited: an experimental study,Linguistics,https://doi.org/10.1515/ling-2020-0110,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; sentence judgment; syntactic judgment,51,49,Not Reported,Mixed,Mixed,Other incentive,Age; Gender / Sex; Language background; Region,Spanish,2,2,6,No,18,Within-subjects,,Yes,Intermixed,Semi-random,Not Reported,5,0,Not Reported,,172,Not Reported,18,No,Syntax,Fully Constructed,Not Reported,Not Reported,Yes,Slightly confident,"Participants were instructed to judge the acceptability of example sentences according to their colloquial understanding, and were discouraged from basing their judgments on school grammar, orthography or plausibility.",acceptability,Ordinal (Likert),7,Isolation,Written,Not Reported,Not Reported,Computer-based,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Items; Participant,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://osf.io/enq4r/overview?view_only=ae50dc9a113f4e93a0e52dab44d25c1f,Not Reported,,Not Reported,,panedaclaudia@uniovi.es,Unclear how many trials participants were given,JG
"Sprouse, Caponigro, Greco et al._2016_experimental_syntax_and",1,Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016.0,Experimental syntax and the variation of island effects in English and Italian,NL & LT,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,56,55,55,Not Reported,Online platform,Paid directly,Language background; Region,American English,8,1,8,Yes,2,Within-subjects,,Not Reported,Intermixed,Random,48,6,0,Yes,Slightly confident,192,16,32,Yes,Syntax,Fully Constructed,Not Reported,Yes,Not Reported,Slightly confident,Not reported,acceptability,Ordinal (Likert),7,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,Not Reported,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,Not Reported,,jon.sprouse@uconn.edu,,MJ
"Sprouse, Caponigro, Greco et al._2016_experimental_syntax_and",2,Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016.0,Experimental syntax and the variation of island effects in English and Italian,NL & LT,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,56,55,55,Not Reported,Not Reported,Paid directly,Language background; Region,American English,8,2,8,Yes,2,Within-subjects,,Not Reported,Intermixed,Random,48,6,0,Yes,Slightly confident,192,16,32,Yes,Syntax,Fully Constructed,Semantics,Yes,Not Reported,Slightly confident,Not reported,acceptability,Ordinal (Likert),7,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,Not Reported,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,Not Reported,,jon.sprouse@uconn.edu,,MJ
"Sprouse, Caponigro, Greco et al._2016_experimental_syntax_and",3,Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016.0,Experimental syntax and the variation of island effects in English and Italian,NL & LT,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,56,55,55,Not Reported,Not Reported,Paid directly,Language background; Region,American English,8,3,8,Yes,2,Within-subjects,,Not Reported,Intermixed,Random,48,6,0,Yes,Slightly confident,192,16,32,Yes,Syntax,Fully Constructed,Semantics,Yes,Not Reported,Slightly confident,Not reported,acceptability,Ordinal (Likert),7,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,Not Reported,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,Not Reported,,jon.sprouse@uconn.edu,,MJ
"Sprouse, Caponigro, Greco et al._2016_experimental_syntax_and",4,Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016.0,Experimental syntax and the variation of island effects in English and Italian,NL & LT,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,56,55,55,Not Reported,Not Reported,Paid directly,Language background; Region,American English,8,4,8,Yes,2,Within-subjects,,Not Reported,Intermixed,Random,48,6,0,Yes,Slightly confident,192,16,32,Yes,Syntax,Fully Constructed,Semantics,Yes,Not Reported,Slightly confident,Not reported,acceptability,Ordinal (Likert),7,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,Not Reported,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,Not Reported,,jon.sprouse@uconn.edu,,MJ
"Sprouse, Caponigro, Greco et al._2016_experimental_syntax_and",5,Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016.0,Experimental syntax and the variation of island effects in English and Italian,NL & LT,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,Unclear: 195 for 4 experiments ,50,50,Students (unspecified),University affiliation,Not compensated,Language background; Education,Italian,8,5,8,Yes,2,Within-subjects,,Not Reported,Intermixed,Random,48,6,0,Yes,Slightly confident,192,16,32,Yes,Syntax,Fully Constructed,Not Reported,Yes,Not Reported,Slightly confident,Not reported,acceptability,Ordinal (Likert),7,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,Not Reported,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,Not Reported,,jon.sprouse@uconn.edu,"The number of items constructed for this study and number of conditions are not clear, but this is what they say about the number of construtced items: logic. Each factorial island design consists of 4 lexically matched conditions, which helps to minimize differences across conditions due to lexical content. We constructed 8 distinct quadruplets for each of the four islands, for each of the two dependency types, and for each of the two languages, for total of 128 distinct quadruplets, or 512 total sentences.",MJ
"Sprouse, Caponigro, Greco et al._2016_experimental_syntax_and",6,Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016.0,Experimental syntax and the variation of island effects in English and Italian,NL & LT,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,Unclear: 195 recruited across 4 experiments,49,49,Students (unspecified),University affiliation,Not compensated,Language background; Education,Italian,8,6,8,Yes,2,Within-subjects,,Not Reported,Intermixed,Random,48,6,0,Yes,Slightly confident,192,16,32,Yes,Syntax,Fully Constructed,Not Reported,Yes,Not Reported,Slightly confident,Not reported,acceptability,Ordinal (Likert),7,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,Not Reported,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,Not Reported,,jon.sprouse@uconn.edu,,MJ
"Sprouse, Caponigro, Greco et al._2016_experimental_syntax_and",7,Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016.0,Experimental syntax and the variation of island effects in English and Italian,NL & LT,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,Unclear: 195 recruited across 4 experiments,47,47,Students (unspecified),University affiliation,Not compensated,Language background; Education,Italian,8,7,8,Yes,2,Within-subjects,,Not Reported,Intermixed,Random,48,6,0,Yes,Slightly confident,192,16,32,Yes,Syntax,Fully Constructed,Not Reported,Yes,Not Reported,Slightly confident,Not reported,acceptability,Ordinal (Likert),7,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Yes,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,Not Reported,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,Not Reported,,jon.sprouse@uconn.edu,,MJ
"Sprouse, Caponigro, Greco et al._2016_experimental_syntax_and",8,Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016.0,Experimental syntax and the variation of island effects in English and Italian,NL & LT,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,Unclear: 195 recruited across 4 experiments,47,47,Students (unspecified),University affiliation,Not compensated,Language background; Education,Italian,8,8,8,Yes,2,Within-subjects,,Not Reported,Intermixed,Random,48,6,0,Yes,Slightly confident,192,16,32,Yes,Syntax,Fully Constructed,Not Reported,Yes,Not Reported,Slightly confident,Not reported,acceptability,Ordinal (Likert),7,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Yes,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,Not Reported,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,Not Reported,,jon.sprouse@uconn.edu,,MJ
"Engel, Grafmiller, Rosseel et al._2022_assessing_the_complexity",1,Alexandra Engel; Jason Grafmiller; Laura Rosseel; Benedikt Szmrecsanyi,2022.0,Assessing the complexity of lectal competence: the register-specificity of the dative alternation after give,Cognitive Linguistics,https://doi.org/10.1515/cog-2021-0107,grammaticality judgment; grammaticality rating ; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; naïve rating; sentence judgment; syntactic judgment,100,89,89,Mixed,Online platform,Paid directly,Gender / Sex; Age; Education; Region; Language background,British English,1,1,4,No,3,Within-subjects,,Not Reported,Blocks,Semi-random,12,0,0,Not Reported,Fairly confident,12,12,20,Yes,Syntax,Fully Authentic,Other,Yes,Yes,Fairly confident,Drag the slider to indicate which option is the most natural continuation,naturalness,Continuous,,Isolation,Audio,Not Reported,Self-paced,Computer-based,Yes,No,Not Reported,Not Reported,Not Reported,Yes,Very confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant,Not Reported,0.05,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Corpus data,Fairly confident,Published in supplement,https://osf.io/2ahgf/,Not Reported,,Not Reported,,alexandra.engel@kuleuven.be,"[32] only the fillers, apparently",MJ
Ungerer_2021_using_structural_priming,1,Tobias Ungerer,2021.0,Using structural priming to test links between constructions: English caused-motion and resultative sentences inhibit each other,Cognitive Linguistics,https://doi.org/10.1515/cog-2020-0016,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; magnitude estimation; meta-linguistic judgment; meta-linguistic rating; sentence judgment; syntactic judgment,160,160,160,Not Reported,Online platform,Not Reported,Gender / Sex; Age; Other; Language background,English,1,1,10,Yes,Unclear,Within-subjects,,Yes,Blocks,Random,64,5,0,Not Reported,Not confident at all,64,64,96,Yes,Syntax; Semantics,Fully Constructed,Not Reported,Not Reported,Not Reported,Slightly confident,Not Reported,Not Reported,Ordinal (Likert),7,Other baseline,Written,Not Reported,Not Reported,Computer-based,Not Reported,No,Not Reported,Not Reported,Built-in breaks,Not Reported,Slightly confident,Continuous,Log Transform,R,Mixed-Effects Regression,No,Participant,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Not confident at all,Published in article,,Published in supplement,https://doi.org/10.18710/2YJITD,Not Reported,,t.ungerer@ed.ac.uk,"[39] I'm unsure about this
[59] I think they presented several levels of statistical significance ",MJ
"Liu, Ambridge_2021_balancing_informationstructure_and",1,Li Liu; Ben Ambridge,2021.0,Balancing information-structure and semantic constraints on construction choice: building a computational model of passive and passive-like constructions in Mandarin Chinese,Cognitive Linguistics,https://doi.org/10.1515/cog-2019-0100,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; sentence judgment; syntactic judgment,60,60,,Students (unspecified),University affiliation,Not Reported,Language background; Education; Age,Mandarin Chinese ,1,1,4,Yes,57,Within-subjects,,Not Reported,Intermixed,Random,228,0,0,Not Reported,Very confident,228,228,No mention of fillers or distractors,Yes,Syntax; Semantics,Not Reported,Not Reported,Not Reported,Yes,Very confident,,grammaticality,Ordinal (Likert),5,Isolation,Written,Not Reported,Self-paced,Computer-based,Yes,No,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,R,Mixed-Effects Regression,Yes,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Slightly confident,Published in supplement,https://osf.io/cbz8m,Published in supplement,https://osf.io/cbz8m,Yes,DOI: 10. 17605/OSF.IO/CBZ8M,Ben.Ambridge@Liverpool.ac.uk,"I like how transparent they are in terms of providing the script, data, material, pre-registering the study, etc. ",MJ
"Al-Aqarbeh, Sprouse_2023_island_effects_and",1,Rania Al-Aqarbeh; Jon Sprouse,2023.0,Island effects and amelioration by resumption in Jordanian Arabic: An auditory acceptability-judgment study,Syntax,https://doi.org/10.1111/synt.12262,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,40,40,42,Students (unspecified),University affiliation,University credit,Education; Region; Language background,Jordanian Arabic,4,1,6,Yes,2,Within-subjects,,Yes,Intermixed,Semi-random,12,6,0,Not Reported,Very confident,48,12,24,Yes,Syntax,Fully Constructed,Semantics,Not Reported,Not Reported,Very confident,"""we instructed participants to imagine conversing with a friend in JA, and to judge whether a native speaker of JA could produce these sentences.""",acceptability,Not Reported,7,Isolation,Audio,Yes,Not Reported,Computer-based,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Very confident,Continuous,Z-score,R,Mixed-Effects Regression,Yes,Items; Participant,Yes,0.05,Not Reported,Yes,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,jon.sprouse@nyu.edu,[54] they used both linear mixed-effects models and Bayes factors to analyze the results.,MJ
"Al-Aqarbeh, Sprouse_2023_island_effects_and",2,Rania Al-Aqarbeh; Jon Sprouse,2023.0,Island effects and amelioration by resumption in Jordanian Arabic: An auditory acceptability-judgment study,Syntax,https://doi.org/10.1111/synt.12262,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,42,42,42,Students (unspecified),University affiliation,University credit,Education; Region; Language background,Jordanian Arabic,4,2,6,Yes,2,Within-subjects,,Yes,Intermixed,Semi-random,12,6,0,Not Reported,Very confident,48,12,24,Yes,Syntax,Fully Constructed,Semantics,Not Reported,Not Reported,Very confident,"""we instructed participants to imagine conversing with a friend in JA, and to judge whether a native speaker of JA could produce these sentences.""",acceptability,Not Reported,7,Isolation,Audio,Yes,Not Reported,Computer-based,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Very confident,Continuous,Z-score,R,Mixed-Effects Regression,Yes,Items; Participant,Yes,0.05,Not Reported,Yes,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,jon.sprouse@nyu.edu,[54] they used both linear mixed-effects models and Bayes factors to analyze the results.,MJ
"Al-Aqarbeh, Sprouse_2023_island_effects_and",3,Rania Al-Aqarbeh; Jon Sprouse,2023.0,Island effects and amelioration by resumption in Jordanian Arabic: An auditory acceptability-judgment study,Syntax,https://doi.org/10.1111/synt.12262,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,43,43,42,Students (unspecified),University affiliation,University credit,Education; Region; Language background,Jordanian Arabic,4,3,6,Yes,2,Within-subjects,,Yes,Intermixed,Semi-random,12,6,0,Not Reported,Very confident,48,12,24,Yes,Syntax,Fully Constructed,Semantics,Not Reported,Not Reported,Very confident,"""we instructed participants to imagine conversing with a friend in JA, and to judge whether a native speaker of JA could produce these sentences.""",acceptability,Not Reported,7,Isolation,Audio,Yes,Not Reported,Computer-based,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Very confident,Continuous,Z-score,R,Mixed-Effects Regression,Yes,Items; Participant,Yes,0.05,Not Reported,Yes,Not Reported,Not Reported,Not Reported,,Fairly confident,Public Repository,https://www.jonsprouse.com/research.html,Public Repository,https://www.jonsprouse.com/research.html,Not Reported,,jon.sprouse@nyu.edu,[54] they used both linear mixed-effects models and Bayes factors to analyze the results.,MJ
